timestamp,n_layer,n_head,n_embd,num_params,win_rate,invalid_rate,train_time
2024-11-14 21:36:45,2,2,6,960,0.4736,0.5011,806.3661880493164
2024-11-14 21:52:40,2,2,6,960,0.4694,0.5014,807.5263459682465
2024-11-14 22:08:40,2,2,6,960,0.4856,0.4843,789.2351679801941
2024-11-14 22:24:19,2,2,6,960,0.487,0.4789,782.7521169185638
2024-11-14 22:39:52,2,2,6,960,0.4824,0.4904,792.0330407619476
2024-11-14 22:55:35,2,2,6,960,0.4677,0.5004,787.0810871124268
2024-11-14 23:11:11,2,2,6,960,0.4765,0.4918,789.3321590423584
2024-11-14 23:26:53,2,2,6,960,0.4712,0.4939,784.9182991981506
2024-11-14 23:42:32,2,2,6,960,0.4972,0.4718,780.1150159835815
2024-11-14 23:58:01,2,2,6,960,0.4542,0.5048,783.9746849536896
2024-11-15 00:13:36,2,3,6,960,0.4722,0.4985,862.5246579647064
2024-11-15 00:30:30,2,3,6,960,0.5089,0.4702,869.3191840648651
2024-11-15 00:47:34,2,3,6,960,0.7687,0.1942,894.5266742706299
2024-11-15 01:04:58,2,3,6,960,0.4703,0.501,891.4848020076752
2024-11-15 01:22:31,2,3,6,960,0.4855,0.4931,2347.154406785965
2024-11-15 02:04:00,2,3,6,960,0.4894,0.4813,1102.4045712947845
2024-11-15 02:24:52,2,3,6,960,0.4646,0.5012,3027.0707638263702
2024-11-15 03:58:00,2,3,6,960,0.4831,0.4889,1770.6560299396515
2024-11-15 04:51:41,2,3,6,960,0.4784,0.493,3583.0743210315704
2024-11-15 05:53:47,2,3,6,960,0.4916,0.4817,2680.5543808937073
2024-11-15 06:40:45,3,1,4,648,0.3813,0.568,2674.814059972763
2024-11-15 07:28:06,3,1,4,648,0.3373,0.6113,3621.6742260456085
2024-11-15 08:31:39,3,1,4,648,0.3528,0.599,3738.502144098282
2024-11-15 09:36:28,3,1,4,648,0.3563,0.5935,8099.820527076721
2024-11-15 12:27:43,3,1,4,648,0.4477,0.4869,2321.529581785202
2024-11-15 13:09:11,3,1,4,648,0.345,0.6097,1032.3790559768677
2024-11-15 13:28:57,3,1,4,648,0.3386,0.6072,1039.9425451755524
2024-11-15 13:48:52,3,1,4,648,0.3409,0.6063,1026.7694568634033
2024-11-15 14:08:36,3,1,4,648,0.352,0.5937,1035.0407280921936
2024-11-15 14:28:28,3,1,4,648,0.3958,0.5403,1041.5755319595337
